,Deal Number,Acquiror name,Acquiror country code,Target name,Target country code,Deal type,Deal status,Deal value th USD,Last deal status date,Acquired stake (%),Initial stake (%),Final stake (%),Target primary NAICS 2017 code,Acquiror primary NAICS 2017 code,Acquiror ticker symbol,Target ticker symbol,Announced date,Deal method of payment,Target listed,Deal method of payment value th USD
62.,1941308153,GORES HOLDINGS IV INC.,US,UWM HOLDINGS LLC,US,Acquisition 100%,Completed,"15,021,000.00",21.01.2021,100.00000,0.00000,100.00000,522292,525990,GHIVU,,23.09.2020,Earn-out,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Shares,,n.a.
,,,,,,,,,,,,,,,,,,Cash,,n.a.
63.,1941253680,VIATRIS,US,UPJOHN INC.,US,Acquisition 100%,Completed,"14,942,872.04",16.11.2020,100.00000,0.00000,100.00000,325412,325412,,,29.07.2019,Shares,Unlisted,"14,942,872"
64.,2007231740,NIPPON STEEL NORTH AMERICA INC.,US,UNITED STATES STEEL CORPORATION,US,Acquisition 100%,Completed,"14,900,000.00",18.06.2025,100.00000,0.00000,100.00000,331110,331110,,X,18.12.2023,Cash,Delisted,"14,900,000"
65.,2007384927,JOHNSON & JOHNSON,US,INTRA-CELLULAR THERAPIES INC.,US,Acquisition 100%,Completed,"14,600,000.00",02.04.2025,100.00000,0.00000,100.00000,325412,325412,JNJ,ITCI,13.01.2025,Cash,Delisted,"14,600,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
66.,2007393322,BRISTOL-MYERS SQUIBB COMPANY,US,KARUNA THERAPEUTICS INC.,US,Acquisition 100%,Completed,"14,000,000.00",18.03.2024,100.00000,0.00000,100.00000,541713,325412,BMY,KRTX,22.12.2023,Cash,Delisted,"14,000,000"
67.,1941230901,MPLX LP,US,ANDEAVOR LOGISTICS LP,US,Acquisition 100%,Completed,"14,000,000.00",30.07.2019,100.00000,0.00000,100.00000,424710,211120,MPLX,ANDX,08.05.2019,Shares,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,"5,000,000"
68.,2007404176,HEWLETT PACKARD ENTERPRISE COMPANY,US,JUNIPER NETWORKS INC.,US,Acquisition 100%,Completed,"14,000,000.00",02.07.2025,100.00000,0.00000,100.00000,334210,334111,HPE,JNPR,09.01.2024,Cash,Delisted,"14,000,000"
69.,2007938288,FIDELITY NATIONAL INFORMATION SERVICES INC.,US,TOTAL SYSTEM SERVICES INC.,US,Acquisition 100%,Completed,"13,500,000.00",09.01.2026,100.00000,0.00000,100.00000,522320,522320,FIS,,17.04.2025,Liabilities,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"7,700,000"
70.,2007786857,ARTHUR J GALLAGHER & COMPANY,US,DOLPHIN TOPCO INC.,US,Acquisition 100%,Completed,"13,450,000.00",18.08.2025,100.00000,0.00000,100.00000,524210,524210,AJG,,09.12.2024,Liabilities,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"13,450,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
71.,1941018982,DOMINION ENERGY INC.,US,SCANA CORPORATION,US,Acquisition 100%,Completed,"13,400,000.00",02.01.2019,100.00000,0.00000,100.00000,221118,221121,D,SCG,03.01.2018,Shares,Delisted,"6,800,000"
,,,,,,,,,,,,,,,,,,Liabilities,,"6,600,000"
72.,2007786809,OMNICOM GROUP INC.,US,INTERPUBLIC GROUP OF COMPANIES INC.,US,Acquisition 100%,Completed,"13,300,000.00",26.11.2025,100.00000,0.00000,100.00000,541810,541810,OMC,IPG,09.12.2024,Shares,Delisted,"13,300,000"
73.,2007485107,JOHNSON & JOHNSON,US,SHOCKWAVE MEDICAL INC.,US,Acquisition 100%,Completed,"13,100,000.00",31.05.2024,100.00000,0.00000,100.00000,541715,325412,JNJ,SWAV,05.04.2024,Cash,Delisted,"13,100,000"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
74.,1941685687,INTERCONTINENTAL EXCHANGE INC.,US,BLACK KNIGHT INC.,US,Acquisition 100%,Completed,"13,100,000.00",05.09.2023,100.00000,0.00000,100.00000,518210,523210,ICE,BKI,04.05.2022,Shares,Delisted,"2,600,000"
,,,,,,,,,,,,,,,,,,Cash,,"10,500,000"
75.,1941444825,BRISTOL-MYERS SQUIBB COMPANY,US,MYOKARDIA INC.,US,Acquisition 100%,Completed,"13,100,000.00",17.11.2020,100.00000,0.00000,100.00000,541713,325412,BMY,MYOK,05.10.2020,Cash,Delisted,"13,100,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
76.,2007390621,RANDOLPH ACQUISITION CORPORATION,US,NFP CORPORATION,US,Acquisition 100%,Completed,"13,000,000.00",25.04.2024,100.00000,0.00000,100.00000,524210,525990,,NFP,19.12.2023,Cash,Delisted,"7,000,000"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
,,,,,,,,,,,,,,,,,,Shares,,"6,000,000"
77.,2007041228,UNITEDHEALTH GROUP INC.,US,CHANGE HEALTHCARE INC.,US,Acquisition 100%,Completed,"13,000,000.00",03.10.2022,100.00000,0.00000,100.00000,511210,524114,UNH,CHNG,06.01.2021,Liabilities,Delisted,"5,000,000"
