Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap,Relative_Size,Model,evtdate,Percent_Stock,Public_Target,Same_Industry,Log_Acq_Size,cret,car,bhar,nrets_est
2007026899.0,MLNK,2022-11-04,65000.0,1319300.7,0.0492685253634747,Market Model,2022-11-04,0.0,0,1,14.092612381456128,-0.133938706,-0.196043871,-0.198238086,250
2007027121.0,OUST,2022-11-07,211985.0,212612.4,0.9970490902694292,Market Model,2022-11-07,1.0,1,1,12.267226068683003,0.3033051819,0.3169537517,0.2964818099,250
2007026893.0,FLGT,2022-11-07,100000.0,1118055.24,0.0894410190322975,Market Model,2022-11-07,0.0,0,1,13.927101341136671,-0.045188729,-0.110767389,-0.123485739,250
2007027911.0,VTRS,2022-11-07,348809.0,11763044.5,0.0296529525158219,Market Model,2022-11-07,0.0,1,0,16.280473352983964,0.3226544622,0.2574020854,0.2872648788,250
2007027545.0,ATKR,2022-11-08,91600.0,3817233.98,0.0239964331450282,Market Model,2022-11-08,0.0,0,0,15.15503662929846,0.2097782831,-0.008109375,-0.012560032,250
2007028352.0,GTLS,2022-11-09,4400000.0,8772983.45,0.5015397584045369,Market Model,2022-11-09,0.0,0,0,15.98718749463889,-0.36816623,-0.514608838,-0.529224505,250
2007028529.0,CBRE,2022-11-09,110000.0,22542961.15,0.004879571910188,Market Model,2022-11-09,0.0,0,0,16.930933431061675,0.0925631769,0.0021638639,-0.004589973,250
2007031316.0,WAFD,2022-11-13,654000.0,2492339.5,0.262404058516105,Market Model,2022-11-14,1.0,0,1,14.728732385565262,0.0101765343,-0.056448653,-0.06426916,250
1941712940.0,EL,2022-11-15,2800000.0,51054652.54,0.0548431898112767,Market Model,2022-11-15,0.0,0,0,17.748407235346814,0.0437130247,-0.040600358,-0.056174674,250
2007035123.0,EVH,2022-11-17,810000.0,2182662.7,0.3711063555537005,Market Model,2022-11-17,0.0,0,0,14.596056111454592,-0.143699565,-0.278409521,-0.306264162,250
2007035183.0,FCBC,2022-11-18,113200.0,623526.75,0.1815479448155191,Market Model,2022-11-18,1.0,0,0,13.343146946149044,0.1047248547,0.048893681,0.0507722667,250
2007039803.0,BSX,2022-11-29,615000.0,62690377.06,0.0098101180570567,Market Model,2022-11-29,0.0,1,0,17.95371851790745,0.046339203,0.0420071331,0.0422536305,250
2007039893.0,NXGN,2022-11-30,90500.0,1338579.0,0.0676090092553372,Market Model,2022-11-30,0.0,0,0,14.107119161493348,-0.055389222,-0.08214777,-0.084428135,250
1941689283.0,CTVA,2022-11-30,1200000.0,47118602.0,0.0254676486369438,Market Model,2022-11-30,0.0,0,0,17.668178427937082,-0.022003363,-0.072552409,-0.076436647,250
2007042911.0,BY,2022-11-30,129000.0,832963.84,0.1548686675282327,Market Model,2022-11-30,0.0,0,1,13.63274551084302,-0.019962316,-0.02625913,-0.027843208,250
2007041335.0,IART,2022-12-01,140000.0,4588478.92,0.0305112004306647,Market Model,2022-12-01,0.0,0,0,15.339059137136722,0.1089303238,0.1159938821,0.1174207304,250
2007041163.0,HI,2022-12-01,59000.0,3444000.0,0.0171312427409988,Market Model,2022-12-01,0.0,0,1,15.05214414452976,0.1398399289,0.1063090939,0.1091727879,250
2007042800.0,NBTB,2022-12-05,199373.0,1982206.8,0.1005813318771785,Market Model,2022-12-05,1.0,1,0,14.499721327480591,-0.077773992,-0.128091274,-0.129487902,250
2007044244.0,NRG,2022-12-06,5200000.0,9408882.56,0.5526692427968831,Market Model,2022-12-06,0.0,0,0,16.057164754244518,-0.246674183,-0.306204296,-0.289480282,250
2007090454.0,ARKO,2022-12-07,140200.0,1095084.0,0.1280267084534154,Market Model,2022-12-07,0.0,0,0,13.906341630619265,-0.115198247,-0.167891389,-0.167324368,250
2007058145.0,DLHC,2022-12-08,185000.0,159434.34,1.160352280443473,Market Model,2022-12-08,0.0378378378378378,0,0,11.979387455009196,-0.03756574,-0.101066937,-0.114338758,250
2007057409.0,SMMF,2022-12-09,53900.0,351349.69,0.153408417693495,Market Model,2022-12-09,1.0,0,1,12.769537274308869,-0.097176396,-0.139563784,-0.1374224,250
2007135438.0,LAMR,2022-12-12,78600.0,8264678.73,0.0095103515294175,Market Model,2022-12-12,0.0,0,1,15.927501417338384,-0.017701002,0.0246674073,0.0218079311,250
2007058023.0,RICK,2022-12-13,66500.0,779273.12,0.0853359345950492,Market Model,2022-12-13,0.2406015037593984,0,1,13.56611686674351,0.1064660478,0.1444174312,0.1475407812,250
2007059715.0,FRBA,2022-12-14,129700.0,297672.33,0.4357139946463952,Market Model,2022-12-14,0.6979259830377795,0,1,12.60374859676542,-0.06981383,-0.075208313,-0.082078126,250
2007059691.0,SHBI,2022-12-14,254400.0,381273.6,0.6672373854365999,Market Model,2022-12-14,1.0,1,1,12.851272506627277,-0.119736175,-0.128835059,-0.126276464,250
2007060009.0,DBX,2022-12-15,95000.0,6654176.76,0.0142767472861661,Market Model,2022-12-15,0.0,0,1,15.710755299680228,-0.02139738,0.0600465725,0.055710471,250
